case_id,passed,score,retrieval_relevance,summary_faithfulness,policy_actionability,safety,deployment,hard_blockers,interpreter_accuracy,retriever_relevance,summarizer_faithfulness,evaluator_validity,critic_risk_detection,improver_actionability,agent_handoff,fault_and_logging,performance,total_duration_ms,error_code
TC-01,True,92.4,1.0,0.6944,1.0,True,배포 가능,,12.0,15.0,10.4,10.0,10.0,15.0,10.0,5.0,5.0,42721.84,
TC-02,True,87.7,0.6,0.75,1.0,True,"조건부 배포 가능, 개선 후 재검증",,12.5,9.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,40077.09,
TC-03,True,85.0,1.0,0.4167,1.0,True,"조건부 배포 가능, 개선 후 재검증",,11.2,15.0,6.3,7.5,10.0,15.0,10.0,5.0,5.0,42598.74,
TC-04,True,84.4,1.0,0.5,1.0,True,"조건부 배포 가능, 개선 후 재검증",,9.4,15.0,7.5,7.5,10.0,15.0,10.0,5.0,5.0,38803.23,
TC-05,True,88.2,0.6667,0.75,1.0,True,"조건부 배포 가능, 개선 후 재검증",,12.0,10.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,40173.73,
TC-06,True,85.6,1.0,0.625,1.0,True,"조건부 배포 가능, 개선 후 재검증",,6.2,15.0,9.4,10.0,10.0,15.0,10.0,5.0,5.0,45914.75,
TC-07,True,86.0,0.6667,0.6944,1.0,True,"조건부 배포 가능, 개선 후 재검증",,13.1,10.0,10.4,7.5,10.0,15.0,10.0,5.0,5.0,40845.39,
TC-08,True,95.6,1.0,0.875,1.0,True,배포 가능,,15.0,15.0,13.1,7.5,10.0,15.0,10.0,5.0,5.0,41704.01,
TC-09,True,81.7,1.0,0.5139,1.0,True,"조건부 배포 가능, 개선 후 재검증",,6.5,15.0,7.7,7.5,10.0,15.0,10.0,5.0,5.0,40621.45,
TC-10,False,65.8,0.4,0.1538,1.0,True,배포 보류,,5.0,6.0,2.3,7.5,10.0,15.0,10.0,5.0,5.0,40762.74,
TC-11,False,57.8,0.0,0.1842,1.0,True,배포 보류,,0.0,0.0,2.8,10.0,10.0,15.0,10.0,5.0,5.0,38551.05,
TC-12,True,86.6,1.0,0.4773,1.0,True,"조건부 배포 가능, 개선 후 재검증",,9.4,15.0,7.2,10.0,10.0,15.0,10.0,5.0,5.0,42357.43,
TC-13,False,69.8,0.0,0.3268,1.0,True,배포 보류,,9.9,0.0,4.9,10.0,10.0,15.0,10.0,5.0,5.0,43013.23,
TC-14,False,79.9,0.6,0.4071,1.0,True,주요 개선 필요,,9.8,9.0,6.1,10.0,10.0,15.0,10.0,5.0,5.0,39717.9,
TC-15,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,1185.31,NO_MATCHING_VOC
TC-16,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,1206.81,NO_MATCHING_VOC
TC-17,True,85.5,1.0,0.5357,1.0,True,"조건부 배포 가능, 개선 후 재검증",,10.0,15.0,8.0,7.5,10.0,15.0,10.0,5.0,5.0,44696.03,
TC-18,True,89.5,1.0,0.5987,1.0,True,"조건부 배포 가능, 개선 후 재검증",,10.5,15.0,9.0,10.0,10.0,15.0,10.0,5.0,5.0,44710.9,
